NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,geometry,status
ACT_ACT000015,ACT000015,Ataturk Memorial Garden,ARBORETUM,COMMUNITY FACILITY,CULTURE,-35.28178,149.1512,ACT,2025-12-09,POINT (149.1512 -35.28178),gazetted
ACT_ACT000219,ACT000219,Fetherston Gardens,ARBORETUM,COMMUNITY FACILITY,CULTURE,-35.33159,149.06014,ACT,2025-12-09,POINT (149.06014 -35.33159),gazetted
ACT_ACT000383,ACT000383,Lennox Gardens,ARBORETUM,COMMUNITY FACILITY,CULTURE,-35.29794,149.12196,ACT,2025-12-09,POINT (149.12196 -35.29794),gazetted
ACT_ACT000800,ACT000800,"National Gallery of Australia
Australia ",ART GALLERY,COMMUNITY FACILITY,CULTURE,-35.3007738,149.1373585,ACT,2025-12-09,POINT (149.137358 -35.300774),gazetted
ACT_ACT000803,ACT000803,National Portrait Gallery,ART GALLERY,COMMUNITY FACILITY,CULTURE,-35.29955234,149.1337661,ACT,2025-12-09,POINT (149.133766 -35.299552),gazetted
ACT_ACT000397,ACT000397,Lotus Bay,BAY,WATERBODY,HYDROLOGY,-35.29944,149.11947,ACT,2025-12-09,POINT (149.11947 -35.29944),gazetted
ACT_ACT000515,ACT000515,Nursery Bay,BAY,WATERBODY,HYDROLOGY,-35.29797,149.0882,ACT,2025-12-09,POINT (149.0882 -35.29797),gazetted
ACT_ACT000527,ACT000527,Orana Bay,BAY,WATERBODY,HYDROLOGY,-35.29867,149.0974,ACT,2025-12-09,POINT (149.0974 -35.29867),gazetted
ACT_ACT000742,ACT000742,Wreck Bay,BAY,WATERBODY,HYDROLOGY,-35.18333,150.63333,ACT,2025-12-09,POINT (150.63333 -35.18333),gazetted
ACT_ACT000751,ACT000751,Yarralumla Bay,BAY,WATERBODY,HYDROLOGY,-35.29993,149.10124,ACT,2025-12-09,POINT (149.10124 -35.29993),gazetted
ACT_ACT000022,ACT000022,Bargang Beach,BEACH,LANDFORM,TERRAIN,-35.22783,149.06472,ACT,2025-12-09,POINT (149.06472 -35.22783),gazetted
ACT_ACT000038,ACT000038,Bhewerre Beach,BEACH,LANDFORM,TERRAIN,-35.16667,150.63333,ACT,2025-12-09,POINT (150.63333 -35.16667),gazetted
ACT_ACT000049,ACT000049,Bimbi Beach,BEACH,LANDFORM,TERRAIN,-35.23029,149.07404,ACT,2025-12-09,POINT (149.07404 -35.23029),gazetted
ACT_ACT000132,ACT000132,Cave Beach,BEACH,LANDFORM,TERRAIN,-35.16287,150.67001,ACT,2025-12-09,POINT (150.67001 -35.16287),gazetted
ACT_ACT000201,ACT000201,Dulwa Beach,BEACH,LANDFORM,TERRAIN,-35.22468,149.06849,ACT,2025-12-09,POINT (149.06849 -35.22468),gazetted
ACT_ACT000297,ACT000297,Gummiuk Beach,BEACH,LANDFORM,TERRAIN,-35.23378,149.06644,ACT,2025-12-09,POINT (149.06644 -35.23378),gazetted
ACT_ACT000482,ACT000482,Mundang Beach,BEACH,LANDFORM,TERRAIN,-35.40557,149.07018,ACT,2025-12-09,POINT (149.07018 -35.40557),gazetted
ACT_ACT000483,ACT000483,Murrays Beach,BEACH,LANDFORM,TERRAIN,-35.12559,150.76012,ACT,2025-12-09,POINT (150.76012 -35.12559),gazetted
ACT_ACT000502,ACT000502,Nengi Bamir Beach,BEACH,LANDFORM,TERRAIN,-35.22536,149.06901,ACT,2025-12-09,POINT (149.06901 -35.22536),gazetted
ACT_ACT000506,ACT000506,Ngadyung Beach,BEACH,LANDFORM,TERRAIN,-35.40612,149.06793,ACT,2025-12-09,POINT (149.06793 -35.40612),gazetted
ACT_ACT000508,ACT000508,Nguru Beach,BEACH,LANDFORM,TERRAIN,-35.40745,149.06903,ACT,2025-12-09,POINT (149.06903 -35.40745),gazetted
ACT_ACT000637,ACT000637,Steamers Beach,BEACH,LANDFORM,TERRAIN,-35.17363,150.72537,ACT,2025-12-09,POINT (150.72537 -35.17363),gazetted
ACT_ACT000694,ACT000694,Tuggeranong Town Park Beach,BEACH,LANDFORM,TERRAIN,-35.40984,149.06648,ACT,2025-12-09,POINT (149.06648 -35.40984),gazetted
ACT_ACT000755,ACT000755,Yerra Beach,BEACH,LANDFORM,TERRAIN,-35.22551,149.06394,ACT,2025-12-09,POINT (149.06394 -35.22551),gazetted
ACT_ACT000018,ACT000018,Australian National Botanic Gardens,BOTANIC GARDENS,COMMUNITY FACILITY,CULTURE,-35.28178,149.11787,ACT,2025-12-09,POINT (149.11787 -35.28178),gazetted
ACT_ACT000171,ACT000171,Cotter Reserve Camp,CAMP GROUND,ACCOMMODATION,CULTURE,-35.32375,148.94665,ACT,2025-12-09,POINT (148.94665 -35.32375),gazetted
ACT_ACT000284,ACT000284,Green Patch,CAMP GROUND,ACCOMMODATION,CULTURE,-35.13629,150.72082,ACT,2025-12-09,POINT (150.72082 -35.13629),gazetted
ACT_ACT000378,ACT000378,Lees Creek Camp,CAMP GROUND,ACCOMMODATION,CULTURE,-35.3476,148.86309,ACT,2025-12-09,POINT (148.86309 -35.3476),gazetted
ACT_ACT000123,ACT000123,Cape St George,CAPE,LANDFORM,TERRAIN,-35.17101,150.75736,ACT,2025-12-09,POINT (150.75736 -35.17101),gazetted
ACT_ACT000166,ACT000166,Cotter Catchment Area,CATCHMENT MANAGEMENT,ADMINISTRATIVE AREA,ADMINISTRATION,-35.41507,148.83406,ACT,2025-12-09,POINT (148.83406 -35.41507),gazetted
ACT_ACT000011,ACT000011,Aranda Bushland,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.26487,149.08203,ACT,2025-12-09,POINT (149.08203 -35.26487),gazetted
ACT_ACT000055,ACT000055,Black Mountain Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.27194,149.09986,ACT,2025-12-09,POINT (149.09986 -35.27194),gazetted
ACT_ACT000352,ACT000352,Kambah Pool Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.3959,149.0102,ACT,2025-12-09,POINT (149.0102 -35.3959),gazetted
ACT_ACT000371,ACT000371,Lanyon Landscape Conservation Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.485,149.07435,ACT,2025-12-09,POINT (149.07435 -35.485),gazetted
ACT_ACT000428,ACT000428,Molonglo Gorge Recreation Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.32855,149.24661,ACT,2025-12-09,POINT (149.24661 -35.32855),gazetted
ACT_ACT000464,ACT000464,Mount Painter Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.26511,149.06787,ACT,2025-12-09,POINT (149.06787 -35.26511),gazetted
ACT_ACT000466,ACT000466,Mount Pleasant Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.29844,149.1512,ACT,2025-12-09,POINT (149.1512 -35.29844),gazetted
ACT_ACT000470,ACT000470,Mount Rogers Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.1988,149.05384,ACT,2025-12-09,POINT (149.05384 -35.1988),gazetted
ACT_ACT000553,ACT000553,Pine Island Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.4317,149.06699,ACT,2025-12-09,POINT (149.06699 -35.4317),gazetted
ACT_ACT000557,ACT000557,Point Hut Crossing Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.45236,149.0755,ACT,2025-12-09,POINT (149.0755 -35.45236),gazetted
ACT_ACT000577,ACT000577,Remembrance Nature Park,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.27924,149.1519,ACT,2025-12-09,POINT (149.1519 -35.27924),gazetted
ACT_ACT000733,ACT000733,Williamsdale Recreation Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.56378,149.13105,ACT,2025-12-09,POINT (149.13105 -35.56378),gazetted
ACT_ACT000766,ACT000766,Budjan Galindji Grasslands Nature Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.20498813,149.1458407,ACT,2025-12-09,POINT (149.145841 -35.204988),gazetted
ACT_ACT000796,ACT000796,Nadjung Mada Nature Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.21557002,149.1586722,ACT,2025-12-09,POINT (149.158672 -35.21557),gazetted
ACT_ACT000819,ACT000819,Stony Creek Nature Reserve,CONSERVATION PARK,PROTECTED AREA,ADMINISTRATION,-35.29276604,148.9472021,ACT,2025-12-09,POINT (148.947202 -35.292766),gazetted
ACT_ACT000004,ACT000004,Aerodrome Corner,CORNER,LANDMARK,CULTURE,-35.40335,148.82113,ACT,2025-12-09,POINT (148.82113 -35.40335),gazetted
ACT_ACT000226,ACT000226,Flints Crossing Reserve,CORNER,LANDMARK,CULTURE,-35.38819,148.96517,ACT,2025-12-09,POINT (148.96517 -35.38819),gazetted
ACT_ACT000549,ACT000549,Piccadilly Circus,CORNER,LANDMARK,CULTURE,-35.35882,148.80028,ACT,2025-12-09,POINT (148.80028 -35.35882),gazetted
ACT_ACT000576,ACT000576,Reids Pinch,CORNER,LANDMARK,CULTURE,-35.34134,148.8277,ACT,2025-12-09,POINT (148.8277 -35.34134),gazetted
ACT_ACT000623,ACT000623,Snowy Corner,CORNER,LANDMARK,CULTURE,-35.45234,148.87017,ACT,2025-12-09,POINT (148.87017 -35.45234),gazetted
ACT_ACT000661,ACT000661,Tatternals Landing,CORNER,LANDMARK,CULTURE,-35.39956,148.80543,ACT,2025-12-09,POINT (148.80543 -35.39956),gazetted
ACT_ACT000677,ACT000677,Thompsons Corner,CORNER,LANDMARK,CULTURE,-35.32118,148.86377,ACT,2025-12-09,POINT (148.86377 -35.32118),gazetted
