DatasetIdentifier,Title,DataAuthority,DataProvider,Description,Usage,DataQualityLineage,DataQualityCompleteness,DataQualityPositionalAccuracy,DataQualityAttributeAccuracy,DataQualityLogicalConsistency,GeographicExtent,ShortenName,Jurisdiction,BoundingBox,MinEastingOrLongitude,MinNorthingOrLatitude,MaxEastingOrLongitude,MaxNorthingOrLatitude,InitiallyAcquiredOn,LastUpdated,UpdateFrequency,DataLicence,Organization,StreetAddress,Phone,Email,WebAddress,DataDownloadLink,MetadataInformation,Publisher/Agency
,Place Names,ACT The City and Environment Directorate (CED),ACT The City and Environment Directorate (CED),"The feature names data refers to the specific official, commercial or colloquial name used to refer to a particular feature or collective group of features in the ACT. A number of feature names have been formally determined as public place names, for example divisions (suburbs) and some parks, however this does not apply to features such as commercial buildings and schools.
The ACT Government is responsible for the naming of public places in the ACT (nomenclature).","The ACTmapi Place Names search tool helps you research names by providing information on the origin and significance of official ACT place names and can be used to check if the name you are proposing has already been used.
URL: https://apps.vertigisstudio.com/web/?app=b785e23ff7a943f1a9c7616205533333                                ",,,,,,Australian Capital Territory,ACT,Federal Territory,"POLYGON((149.00 -35.48,149.23 -35.48,149.23 -35.15,149.00 -35.15,149.00 -35.48))",149,-35.48,149.23,-35.15,,,,"All material published and/or delivered via ACTmapi services is copyright to the ACT Government unless specified in the metadata otherwise. ACT Government utilises the Creative Commons Attribution 4.0 International (CCBY v4.0) licences for selected data. Data from ACTmapi and associated websites must be acknowledged whenever it is used (but not in any way that suggests that ACT Government endorses you or your use of the data). Attribution is important, as it acknowledges your use of ACT Government Data and allows others to find and use the Data from its original authoritative source if they wish. By using the Data, you agree to accept the Terms of Use and ACT Government Attribution Guidelines. If you do not accept these, you should stop using the Data immediately. By accessing this material (whether by means of any robot, spider or other automatic device or agent, or any manual process) you are deemed to have accepted these terms of use. These terms of use apply in addition to any other specified terms (including licence conditions).

The Australian Capital Territory makes this material available for information purposes only and on the understanding that users exercise their own skill and care with respect to its use. Before relying on the material in any important matter you should carefully evaluate the accuracy, completeness and relevance of the material for your purposes and should obtain appropriate professional advice relevant to your particular circumstances. The Australian Capital Territory makes no representation or warranty as to the currency, reliability, accuracy or completeness, merchantability, fitness for purpose or suitability to your needs of the material. You use and rely on the material wholly at your own risk.

You waive and release the Australian Capital Territory to the full extent permitted by law from any and all claims relating to the usage of the material. Without limiting this general disclaimer, the Australian Capital Territory accepts no responsibility for any liability arising from or connected with any errors, omissions or inaccuracies or any lack of reliability, currency or completeness of the material or for any losses, damage, personal injury or death or any costs or expenses incurred as a result of your use of this material. In no event shall the Australian Capital Territory be liable for any incidental or consequential damages resulting from use of the material.

Where there is any concern about the accuracy or currency of the material contact us by email at spatialdata@act.gov.au.

To the extent copyright subsists in this material, the terms of the stated licence also apply to your use of it. To the extent that copyright does not subsist in this material, if you share this material (including in any modified form) you agree to retain the identification of the Australian Capital Territory as the creator of the material, a notice that refers to these terms of use, including disclaimer and a URL or hyperlink to the material to the extent reasonably possible. You also agree to indicate if you modified the material and retain an indication of any previous modifications, and you must not to prevent recipients of any adapted version of this material from complying with these terms of use.",ACT The City and Environment Directorate (CED),, 13 22 81,placenames@act.gov.au.,https://www.planning.act.gov.au/community/place-names/search-place-names,https://placenames.fsdf.org.au/,https://www.actmapi.act.gov.au/terms-and-conditions,ACT The City and Environment Directorate (CED)
,Geographical Names Register Place Names,Geographical Names Board of NSW,Spatial Services,"The Geographical Names Register (GNR) is a database of the authoritative place names in NSW. Since its inception in 1966 the Geographical Names Board has recorded information in relation to NSW geographical names within the GNR. There are currently over eighty thousand place names recorded in the GNR. On average, 200 new place names are assigned and added to this database every year. Every record in this database has the provision for over thirty attributes ranging from spatial location information in respect to co-ordinate, map tile, parish etc. to cultural information on history, meaning and origin. The GNR also holds official information such as the nameï¿½s status and feature type, and temporal information dealing with the gazettal date of the name.","Place Names are used to identify and record the official
and/or commonly used names for the location of places
and features, and the gazetted or historical information
associated with those names.
Place Names are integral to:
ï¿½ emergency response
ï¿½ cultural identity and heritage
ï¿½ mapping and navigation.
9.6.1 Dataset / product title: Geographical Names Register Place Names
Image depicts a sample of the Geographical Names Register Place Names
dataset ï¿½ Spatial Services 2018
NSW Foundation Spatial Data Framework
More broadly, correct use of accurate place name can provide
benefits for communities and organisations engaged in:
ï¿½ Trade and commerce
ï¿½ Population censuses and national statistics
ï¿½ Property rights and cadastre
ï¿½ Urban and regional planning
ï¿½ Environmental management
ï¿½ Natural disaster preparedness, relief, and aid
ï¿½ Security strategy and peacekeeping operations
ï¿½ Search and rescue operations
ï¿½ Map and atlas production
ï¿½ Automatic navigation
ï¿½ Tourism
ï¿½ Communications, including postal and news services.",,,,,,New South Wales,NSW,Federated State,"POLYGON((141.00 -38.00,154.00 -38.00,154.00 -28.00,141.00 -28.00,141.00 -38.00))",141,-38,154,-28,,"The source of official place names for NSW, containing
authoritative references and information pertaining to the
history, origin and meaning of place names and provides
information to the Gazetteer of Australia.",Continuously,"Spatial Services, a division of the Department of Finance,
Services and Innovation (DFSI) creates and manages
Intellectual Property for the Crown in right of New South
Wales.
Acquisition of this data is subject to the customer entering
into an appropriate Creative Commons license agreement.
To the extent that Creative Commons licensing applies,
all data and other material produced by Spatial Services
constitutes Crown copyright.
Spatial Services has applied the Creative Commons
Attribution 3.0 Australia Licence. Spatial Services asserts the
right to be attributed as author of the original material in the
following manner: Spatial Services [date of extraction]",Geographical Names Board of NSW,"346 Panorama Ave, Bathurst, NSW 2795", 1800 025 700,SS-SDS@finance.nsw.gov.au,https://www.nsw.gov.au/departments-and-agencies/geographical-names-board,https://data.nsw.gov.au/data/dataset/geographical-name-register-of-nsw/resource/af4e95e2-0dda-44c4-9324-4a025169545c,"Metadata for the relevant Spatial Services datasets are required to comply with AS/NZS ISO 19115 ANZLIC Metadata
Profile v1.1 and ISO 19139. Data is collected in accordance with the Geographical Names Act 1966. Url: https://data.nsw.gov.au/data/dataset/nsw-foundation-spatial-data-framework-place-names-geographical-names-register-place-names/resource/b8de367b-da59-4621-8ae4-936b4bcd15cf and URL: https://data.nsw.gov.au/data/dataset/geographical-name-register-of-nsw",Geographical Names Board of NSW
ANZNT0001000029,Place Names Register,"Department of Lands, Planning and Environment","Department of Lands, Planning and Environment",The official list (gazetteer) of place names in the Northern Territory.,"Database contains current and historical names for roads, parks, cemeteries, features (mountains / streams / waterholes etc), localities (suburbs and localities), Aboriginal Communities together with the origin of the name, gazettal information and location.   Subsets Place Names Register contains all place names approved by a Minister (or Administrator) since 1945 when the original Nomeclature Ordince was passed.  Subset Aboriginal Communities contains all places where ""Data_type"" = ""Aboriginal Community"".",Original data extracted from National Mapping's Master Names file; data is being updated by the checking of all current and historical map sheets/plans.,This dataset is updated regularly and is therefore complete at time of viewing.,"The original position of a feature was the position of the feature name on the relevant map sheet - data is progressively being upgraded to show the true position of point features (Mountains, Bores etc), centroid of area features (ranges, bays, etc) and mouth of steams. Original position (of name) was to nearest minute, as scaled from 1:250,000 or 1:100,000 map sheet.",Good,Good,Nothern Territory,NT,Federal Territory,"POLYGON((129.00 -26.00,138.00 -26.00, 138.00 -11.00,129.00 -11.00,129.00 -26.00))",129,-26,138,-11,1980-01-01,Regularly,Continual,"The data is generally available for distribution within the Northern Territory. Charges may apply for both hard and digital copy. For digital information, a digital data agreement may be required. Please refer to the contact within this metadata.","Department of Lands, Planning and Environment","18-20 Cavenagh Street,  Darwin, NT 0801",08 8995 5334,place.names@nt.gov.au,https://dli.nt.gov.au/,https://placenames.fsdf.org.au/,"Name:AS/NZS ISO 19115 Geographic Information - Metadata, ANZLIC Metadata Profile ; Version:1.0
Date Metadata Extracted:2025-03-03;
Date Metadata Last Updated:2007-09-05;
Current URL (HTML format) : http://www.ntlis.nt.gov.au/metadata/export_data?type=html&metadata_id=2DBCB7711FB306B6E040CD9B0F274EFE
Current URL (XML format) : http://www.ntlis.nt.gov.au/metadata/export_data?type=xml&metadata_id=2DBCB7711FB306B6E040CD9B0F274EFE","Department of Lands, Planning and Environment"
BUILT.QLD_PLACE_NAMES_GAZETTEER,Place names gazetteer - Queensland,"Department of Natural Resources and Mines, Manufacturing and Regional and Rural Development","Department of Natural Resources and Mines, Manufacturing and Regional and Rural Development",This is the list of approved place names as per the Qld Place Names Act 1994. The gazetteer is extracted from the place names database (PNDB) where each place name is represented as a point of latitude and longitude. For further details see History-Lineage statement below. Additional information on Place Names can be found on the department's web site at http://www.qld.gov.au/environment/land/place-names/,Display and research of approved place names within Queensland. Due to variable capture techniques the intended scale for display is 1:250000 or smaller.,"Information was originally contained within cadastral and topographic maps, place names card files and Queensland Government Gazettes. In the 1980's information from those resources were collated into this electronic gazetteer. Today the gazetteer is continuously updated in accordance with new actions under the Place Names Act 1994 and as further historical research is uncovered. The Queensland Government has a legislative requirement under the Act to record approved place names within Queensland.","Under the Act, all approved place names are to be recorded in the Gazetteer. The Act defines ""place"" as an area or geographical feature (whether natural or artificial). However, a ""place"" does not include: a) a road within the meaning of the Transport Operations (Road Use Management Act) 1995. b) a canal associated with residential or commercial development. c) a building or similar structure. d) a dam wall or similar structure. e) a local government area or a division or ward of a local government area. f) an electoral district under the Electoral Act 1992. g) another place prescribed by regulation.","Coordinates for place names collated from the Place Names Card File system are shown to the nearest minute of latitude and longitude. The upgraded and new records have coordinates recorded to the nearest second of latitude and longitude. For linear features such as watercourses and gullies, the point relates to the mouth or confluence.*",The estimated attribute accuracy is 98% reliable.,Gazettal and historical information is not available for all place names.,Queensland,QLD,Federated State,"POLYGON((138.02 -29.18,153.98 -29.18,153.98 -9.13,138.02 -9.13,138.02 -29.18))",138.02,-29.18,153.98,-9.13,2021-03-01,Monthly,Monthly,"Use limitation : Unrestricted to all levels of government and the community. Dataset is available to all government, community groups and individuals. Copyright : (as use constraint) © The State of Queensland 2025 Licence : (as use constraint) This material is licensed under a Creative Commons - Attribution 4.0 International licence. The Department of Natural Resources and Mines, Manufacturing and Regional and Rural Development requests attribution in the following manner:© The State of Queensland 2025
Other restrictions : (as use constraint)
Dataset is wholly created and owned by Natural Resources and Mines for the State of Queensland. While every care is taken to ensure the accuracy of this information, the Department of Natural Resources and Mines, Manufacturing and Regional and Rural Development makes no representations or warranties about its accuracy, reliability, completeness or suitability for any particular purpose and disclaims all responsibility and all liability (including without limitation, liability in negligence) for all expenses, losses, damages (including indirect or consequential damage) and costs which might be incurred as a result of the information being inaccurate or incomplete in any way and for any reason.","Department of Natural Resources and Mines, Manufacturing and Regional and Rural Development","1 William St, Brisbane City QLD 4000",137468,QldPlaceNames@nrmmrrd.qld.gov.au,https://www.nrmmrrd.qld.gov.au/,https://www.data.qld.gov.au/datastore/dump/414391b9-7943-4fc3-a237-a1ac57b75aab?bom=True,"Hierarchy level (scope of the metadata) : dataset
Identifier : {DACC3722-B27E-5964-2269-93D85184806A}
Parent identifier : x
Metadata date stamp: 2011-12-16
Language : eng
Character set : utf8
Metadata standard name : ISO 19115:2005, ANZLIC ISO 1.1
Metadata version name : QGIS  
URL: https://qldspatial.information.qld.gov.au/catalogue/custom/viewMetadataDetails.page?uuid=%7B1B19B980-B171-47C1-9AA6-5B95A7158ADC%7D                          ","The Department of Natural Resources and Mines, Manufacturing, and Regional and Rural Development"
755,Place Names: Gazetteer Sites,Department for Housing and Urban Development,Location SA,Point cover of place name locations for SA with ancillary files depicting line and polygon feature extents.,Definitive list of place names in South Australia showing both official and unofficial place names. Can also be used as an anno-text layer for addition to mapping production. This is a subset of the place names gazetteer showing only those name that have been cleared for public release.,"Derived by reference to naming decisions, topographic and other maps, explorers journals and other historical documentation and from information provided by specific interest groups and the general community.",Place names are always being added and updated to this database.,"Scaled from the best available topo maps and other sources, including some GPS fixes. It is appropriate to take due regard of the accuracy of the data capture in any proposed use of the data.",,,South Australia,SA,Federated State,"POLYGON((129.00 -38.25,141.00 -38.25,141.00 -26.00,129.00 -26.00,129.00 -38.25))",129,-38.25,141,-26,2005-11-16,Current,Daily,No restrictions - data can be downloaded for free at http://dpti.sa.gov.au/data_download_portal/_nocache under CC BY (Attribution),Department for Housing and Urban Development,"250 Victoria Square/Tarntanyangaa , Adelaide",(08) 8423 5000,dhud.reception@sa.gov.au,https://www.dhud.sa.gov.au/,https://data.sa.gov.au/data/dataset/gazetteer,"This Metadata document has been delivered by the Location Metadata System (LMS) developed by Location SA.
Retrieved on: Monday, 3 March 2025
Metadata URL: http://lms.dit.sa.gov.au/LMSReports/ReportMetadata.aspx?p_no=755&pu=y
This metadata report is licensed under a Creative Commons Attribution 3.0 Australia Licence Copyright in this information remains with the Crown in right of the State of South Australia and its licensors including but not limited to the Commonwealth of Australia. Information is not represented to be accurate, current, complete or suitable for any purpose, at the time of its supply and may have changed since the date of supply. No responsibility is accepted for any reliance placed by any person in the use of this information.",Department for Housing and Urban Development
806,Place Names: Gazetteer Lines,Department for Housing and Urban Development,Location SA,"The State Gazetteer is the official record of place names in South Australia, as required by the Geographical names Act. As such it does contains the information relating to places that have been assigned or approved pursuant to the said Act, but also contains information relating to place names not covered by the Act. The aim for the gazetteer is to provide a single point of truth for place names information in South Australia. Gazetteer data is contained in three tables, being: GazetteerSites - a point data set containing the names of places in South Australia and the relevant attributes. GazetteerLine - a line data set showing the extent of linear features, linked to the point data through the RECNO field.",Extent of the linear features as determined to date,"Derived by reference to naming decisions, topographic and other maps, explorers journals and other historical documentation.",Feature extents are always being added and updated to this database,"Scaled from the best available topo maps and other sources, including some GPS fixes. It is appropriate to take due regard of the accuracy of the data capture in any proposed use of the data.",,,South Australia,SA,Federated State,"POLYGON((129.00 -38.25,141.00 -38.25,141.00 -26.00,129.00 -26.00,129.00 -38.25))",129,-38.25,141,-26,2005-11-16,Current,As required,No restrictions - data can be downloaded for free at http://dpti.sa.gov.au/data_download_portal/_nocache under CC BY (Attribution),Department for Housing and Urban Development,"250 Victoria Square/Tarntanyangaa , Adelaide",(08) 8423 5000,dhud.reception@sa.gov.au,https://www.dhud.sa.gov.au/,https://data.sa.gov.au/data/dataset/gazetteer,"This Metadata document has been delivered by the Location Metadata System (LMS) developed by Location SA.
Retrieved on: Monday, 3 March 2025
Metadata URL: http://lms.dit.sa.gov.au/LMSReports/ReportMetadata.aspx?p_no=806&pu=y
This metadata report is licensed under a Creative Commons Attribution 3.0 Australia Licence Copyright in this information remains with the Crown in right of the State of South Australia and its licensors including but not limited to the Commonwealth of Australia. Information is not represented to be accurate, current, complete or suitable for any purpose, at the time of its supply and may have changed since the date of supply. No responsibility is accepted for any reliance placed by any person in the use of this information.",Department for Housing and Urban Development
835,Place Names: Gazetteer Areas,Department for Housing and Urban Development,Location SA,"The State Gazetteer is the official record of place names in South Australia, as required by the Geographical names Act. As such it does contains the information relating to places that have been assigned or approved pursuant to the said Act, but also contains information relating to place names not covered by the Act. The aim for the gazetteer is to provide a single point of truth for place names information in South Australia. Gazetteer data is contained in three tables, being: Gazetteer Sites a point data set containing the names of places in South Australia and the relevant attributes. GazetteerLine - a line data set showing the extent of linear features, linked to the point data through the RECNO field Gazetteer Areas - a polygon data set showing the extent of area features, linked to the point data through the RECNO field",Extent of the polygon features as determined to date,"Derived by reference to naming decisions, topographic and other maps, explorers journals and other historical documentation.",Feature extents are always being added and updated to this database,"Scaled from the best available topo maps and other sources, including some GPS fixes. It is appropriate to take due regard of the accuracy of the data capture in any proposed use of the data.",,,South Australia,SA,Federated State,"POLYGON((129.00 -38.25,141.00 -38.25,141.00 -26.00,129.00 -26.00,129.00 -38.25))",129,-38.25,141,-26,2005-11-16,Current,As required,CC BY (Attribution),Department for Housing and Urban Development,"250 Victoria Square/Tarntanyangaa , Adelaide",(08) 8423 5000,dhud.reception@sa.gov.au,https://www.dhud.sa.gov.au/,https://data.sa.gov.au/data/dataset/gazetteer,"This Metadata document has been delivered by the Location Metadata System (LMS) developed by Location SA.
Retrieved on: Monday, 3 March 2025
Metadata URL: http://lms.dit.sa.gov.au/LMSReports/ReportMetadata.aspx?p_no=835&pu=y
This metadata report is licensed under a Creative Commons Attribution 3.0 Australia Licence Creative Commons Licence. Copyright in this information remains with the Crown in right of the State of South Australia and its licensors including but not limited to the Commonwealth of Australia. Information is not represented to be accurate, current, complete or suitable for any purpose, at the time of its supply and may have changed since the date of supply. No responsibility is accepted for any reliance placed by any person in the use of this information.",Department for Housing and Urban Development
,LIST Place Names (Nomenclature),Land Tasmania,Land Tasmania,"Place Names are all those names recorded in the Placenames Tasmania Nomenclature management system. This includes all names which have been approved by the Nomenclature Board of Tasmania together with street names assigned by Local Government and other names assigned by external organisations. Also included are many other cultural and walking track names, which although are unofficial, as they have not been assigned by the Board, are in common use and have been recorded for information.
",The Place Names dataset includes all those official names together with other road and cultural names which are recorded for public use.,"Place Name (Nomenclature) information has been derived from gazettal information and other sources for placenames. Place Name (Nomenclature) information is linked through the UID (Nomenclature Register Number) to LIST spatial data sets. These data sets portray the location and extents of the named feature. 

Additional Information:
https://nre.tas.gov.au/land-tasmania/place-naming-in-ta
smania",,A single point has been generated from this data for the approximate centre of each feature. These placenames points will be located in the approximate centre of each feature. For linear features such as road and rivers the point will be located within 10 metres of the centreline of the feature.,"A number of attributes are held against the feature indicating its classification, status and whether official or not. Note that the classification system for populated places may not be representative of the hierarchical order of these names.",,Tasmania,TAS,Federated State,"POLYGON((143.50 -44.00,149.00 -44.00,149.00 -39.00,143.50 -39.00,143.50 -44.00))",143.5,-44,149,-39,2014-12-01,,,Creative Commons Attribution 3.0 Australia Licence,Land Tasmania,"Level 1, 134 Macquarie Street, Hobart, TAS, 7000",03 6165 4444,placenames@nre.tas.gov.au,www.placenames.tas.gov.au,https://placenames.fsdf.org.au/,"File identifier: d193cd7a-d93a-4ca8-a0a3-670929ad247a; Hierarchy level, Dataset: Information applies to the dataset;
Date stamp: 2022-12-21T12:58:38.456+11:00; Use limitation: Creative Commons Attribution 3.0 Australia Licence; URL: https://data.thelist.tas.gov.au/datagn/srv/eng/main.home?uuid=d193cd7a-d93a-4ca8-a0a3-670929ad247a ",Land Tasmania
VMFEAT:GNR,Vicmap Features - VICNAMES Place Name Register Point ,Department of Transport and Planning,Department of Transport and Planning,"Part of the Vicmap Features of Interest dataset series. This layer is derived from the Register of Geographic Names. Named locations
desribed in this layer include town names, buildings/structures and place names in general.These locations are stored as named points
. ","The layers primary function is to support production of map annotation and as a general reference for localities. The Register is the
primary reference for official names and their applications. The Register holds the status of names (e.g. official; official alternative;
official historical; etc). To provide the official legal name of a place or feature or asset as in section 18 of the Geographic Place Names
Act 1998.",Dataset Source: This data was derived from the Register of Geographic Names. Dataset Originality: Derived,,"Description: 1:25 000 maps (approx. 100m accuracy); 1:100 000 maps (approx. 1000m accuracy) Determination: Comparison to
independent source Vertical Accuracy (m): N/A (no height data maintained) ",Estimated at 99%.,Cross error checks undertaken for location,Victoria,VIC,Federated State,"POLYGON((141.00 -39.00,150.00 -39.00,150.00 -34.00,141.00 -34.00,141.00 -39.00))",141,-39,150,-34,1996-04-01,,Continual,https://creativecommons.org/licenses/by/4.0/,Department of Transport and Planning,"
11/2 Lonsdale St Melbourne Vic 3000 Australia",136 186,geo.names@transport.vic.gov.au,https://www.land.vic.gov.au/place-naming/services-and-resources/vicnames-register,https://maps.land.vic.gov.au/lassi/VicnamesUI.jsp,URL: https://metashare.maps.vic.gov.au/geonetwork/srv/eng/catalog.search#/metadata/54322f3a-6c06-5c48-831c-45214f6d6aa0 ,Department of Transport and Planning
,Geographic Names ,Western Australian Land Information Authority (Landgate),Western Australian Land Information Authority (Landgate),A points dataset showing the position of features of interest derived from the Official Geographic Names Gazetteer for Western Australia. It does not contain roads information.,"GEONOMA is the authoritative register of all official WA names assigned under the Land 
Administration Act 1997 and previous Acts. It also includes other unofficial names that have been 
recorded where they are in common use to support location finding (map references). Historic and 
superseded names are also retained in the register",,"Naming proposals are presented to Landgate by local government authorities. Naming proposals 
which are complex, contentious, or are of state significance, are tabled with Geographic Naming 
Committee (GNC) by Landgate for independent advice. Landgate may also present proposals to the 
GNC for advice where they are non-compliant with the Policy and Standards for Geographic Naming 
in Western Australia. The Minister for Lands may refer items directly to the GNC for advice through 
Landgate.
The validation of the GEONOMA roads and topographic data (including Geographic Names ï¿½ 
Restricted) is an ongoing process conducted by Landgate. Feedback from the public and Local 
Government is received, and data matching is performed to ensure thorough verification before 
entering the information into GEONOMA","The positional accuracy of the data stored within the GEONOMA data set will be dependent on the 
accuracy of the scale of the original source materials, which have been used as a reference. 
Coordinates have been scaled or digitised from 1:250 000 and 1:50 000 maps in the South West 
Region and from 1:250 000 maps in pastoral and remote areas. Some coordinates have been 
sourced from GPS surveys.",,,Western Australia,WA,Federated State,"POLYGON((112.92 -35.13,129.00 -35.13,129.00 -13.68,112.92 -13.68,112.92 -35.13))",112.92,-35.13,129,-13.68,2018-08-20,45718,"The data set undergoes continuous maintenance, with updates occurring daily based on the 
frequency of amendments and gazetted changes. The currency of the data reflects the state at a 
specific point in time, usually at the point of extraction. ",Copyright of Western Australian Land Information Authority (Landgate). Use of Landgate data is subject to Personal Use License terms and conditions unless otherwise authorised under approved License terms and conditions. Personal Use Licence terms: https://www.landgate.wa.gov.au/siteassets/documents/location-data-and-services/licensing/slip-transaction-personal-use-licence-300523.pdf and Licecne terms and conditions: https://www.landgate.wa.gov.au/location-data-and-services/discovering-landgate-data/licensing/,Western Australian Land Information Authority (Landgate),"1 Midland Square,
MIDLAND, WA 6056",08 9273 7683,customerservice@landgate.wa.gov.au,https://www.landgate.wa.gov.au/location-data-and-services/discovering-landgate-data/geographic-names-data/,https://placenames.fsdf.org.au/,URL: https://catalogue.data.wa.gov.au/dataset/geographic-names-geonoma and URL: https://www.landgate.wa.gov.au/siteassets/documents/location-data-and-services/place-names-and-addressing/geographic-names-geonoma-data-dictionary.pdf,Western Australian Land Information Authority (Landgate)
