NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
NT_22192,22192,Numbulwar Aerodrome,AIRPORT,AIR,TRANSPORT,-14.2701,135.7149,NT,2024-03-01,POINT (135.714892 -14.270114),gazetted
NT_22193,22193,Ali Curung Aerodrome,AIRPORT,AIR,TRANSPORT,-20.9996,134.3961,NT,2024-03-01,POINT (134.396092 -20.999614),gazetted
NT_21128,21128,Port Keats Aerodrome,AIRPORT,AIR,TRANSPORT,-14.2479,129.5287,NT,2024-03-01,POINT (129.528691 -14.247914),gazetted
NT_20366,20366,Borroloola Aerodrome,AIRPORT,AIR,TRANSPORT,-16.0754,136.3028,NT,2024-03-01,POINT (136.302792 -16.075414),gazetted
NT_20922,20922,Kulgera Airstrip,AIRPORT,AIR,TRANSPORT,-25.8426,133.2923,NT,2024-03-01,POINT (133.292292 -25.842614),gazetted
NT_17886,17886,Ramingining Airfield,AIRPORT,AIR,TRANSPORT,-12.3574,134.8916,NT,2024-03-01,POINT (134.891591 -12.357414),gazetted
NT_23328,23328,Harts Range Aerodrome,AIRPORT,AIR,TRANSPORT,-22.9892,134.9215,NT,2024-03-01,POINT (134.921492 -22.989214),gazetted
NT_23329,23329,Henbury Aerodrome,AIRPORT,AIR,TRANSPORT,-24.5836,133.235,NT,2024-03-01,POINT (133.234992 -24.583614),gazetted
NT_23330,23330,Hermannsburg Aerodrome,AIRPORT,AIR,TRANSPORT,-23.9271,132.8092,NT,2024-03-01,POINT (132.809192 -23.927114),gazetted
NT_23331,23331,Hooker Creek Aerodrome,AIRPORT,AIR,TRANSPORT,-18.3348,130.6362,NT,2024-03-01,POINT (130.636191 -18.334814),gazetted
NT_23335,23335,Victoria River Research Station Aerodrome,AIRPORT,AIR,TRANSPORT,-16.1156,130.9525,NT,2024-03-01,POINT (130.952491 -16.115614),gazetted
NT_23336,23336,Kildurk Aerodrome,AIRPORT,AIR,TRANSPORT,-16.4305,129.6147,NT,2024-03-01,POINT (129.614691 -16.430514),gazetted
NT_23338,23338,Kintore Aerodrome,AIRPORT,AIR,TRANSPORT,-23.2646,129.3786,NT,2024-03-01,POINT (129.378591 -23.264614),gazetted
NT_23340,23340,Lake Evella Aerodrome,AIRPORT,AIR,TRANSPORT,-12.498,135.806,NT,2024-03-01,POINT (135.805992 -12.498014),gazetted
NT_23341,23341,Minyerri Aerodrome,AIRPORT,AIR,TRANSPORT,-15.2196,134.0733,NT,2024-03-01,POINT (134.073292 -15.219614),gazetted
NT_23342,23342,Mount Allan Aerodrome,AIRPORT,AIR,TRANSPORT,-22.2656,132.1829,NT,2024-03-01,POINT (132.182891 -22.265614),gazetted
NT_23343,23343,Mount Liebig Aerodrome,AIRPORT,AIR,TRANSPORT,-23.2436,131.2589,NT,2024-03-01,POINT (131.258891 -23.243614),gazetted
NT_23344,23344,Napperby Aerodrome,AIRPORT,AIR,TRANSPORT,-22.5312,132.7631,NT,2024-03-01,POINT (132.763092 -22.531214),gazetted
NT_23345,23345,Alcoota Aerodrome,AIRPORT,AIR,TRANSPORT,-22.8018,134.4031,NT,2024-03-01,POINT (134.403092 -22.801814),gazetted
NT_23363,23363,Goulbourn Island Aerodrome,AIRPORT,AIR,TRANSPORT,-11.6511,133.3799,NT,2024-03-01,POINT (133.379891 -11.651114),gazetted
NT_23364,23364,Garden Point Aerodrome,AIRPORT,AIR,TRANSPORT,-11.3994,130.4259,NT,2024-03-01,POINT (130.425891 -11.399414),gazetted
NT_23365,23365,Eva Valley Aerodrome,AIRPORT,AIR,TRANSPORT,-14.2655,132.8296,NT,2024-03-01,POINT (132.829591 -14.265514),gazetted
NT_23508,23508,Bathurst Island Airfield,AIRPORT,AIR,TRANSPORT,-11.7649,130.6159,NT,2024-03-01,POINT (130.615891 -11.764914),gazetted
NT_22926,22926,Yarralin Aerodrome,AIRPORT,AIR,TRANSPORT,-16.4431,130.8789,NT,2024-03-01,POINT (130.878891 -16.443114),gazetted
NT_23449,23449,Daly Waters Aerodrome,AIRPORT,AIR,TRANSPORT,-16.2644,133.383,NT,2024-03-01,POINT (133.382991 -16.264414),gazetted
NT_23581,23581,Oenpelli Aerodrome,AIRPORT,AIR,TRANSPORT,-12.3248,133.0058,NT,2024-03-01,POINT (133.005791 -12.324814),gazetted
NT_23585,23585,Daly River Aerodrome,AIRPORT,AIR,TRANSPORT,-13.7503,130.6946,NT,2024-03-01,POINT (130.694591 -13.750314),gazetted
NT_23588,23588,Elcho Island Aerodrome,AIRPORT,AIR,TRANSPORT,-12.0189,135.5726,NT,2024-03-01,POINT (135.572591 -12.018914),gazetted
NT_23589,23589,Snake Bay Aerodrome,AIRPORT,AIR,TRANSPORT,-11.4177,130.6485,NT,2024-03-01,POINT (130.648491 -11.417714),gazetted
NT_23612,23612,Ti Tree Airstrip,AIRPORT,AIR,TRANSPORT,-22.1273,133.4224,NT,2024-03-01,POINT (133.422392 -22.127314),gazetted
NT_23485,23485,Alpurrurulam Airfield,AIRPORT,AIR,TRANSPORT,-20.9858,137.8334,NT,2024-03-01,POINT (137.833392 -20.985814),gazetted
NT_23156,23156,Ngukurr Aerodrome,AIRPORT,AIR,TRANSPORT,-14.7234,134.7477,NT,2024-03-01,POINT (134.747692 -14.723414),gazetted
NT_23709,23709,Bulman Airfield,AIRPORT,AIR,TRANSPORT,-13.6687,134.291,NT,2024-03-01,POINT (134.290991 -13.668714),gazetted
NT_23326,23326,Willowra Aerodrome,AIRPORT,AIR,TRANSPORT,-21.2524,132.6219,NT,2024-03-01,POINT (132.621892 -21.252414),gazetted
NT_23327,23327,Wauk Aerodrome,AIRPORT,AIR,TRANSPORT,-11.5492,132.9157,NT,2024-03-01,POINT (132.915691 -11.549214),gazetted
NT_10678,10678,Batchelor Airfield,AIRPORT,AIR,TRANSPORT,-13.0528,131.0254,NT,2024-03-01,POINT (131.025391 -13.052814),gazetted
NT_22200,22200,Yuendumu Aerodrome,AIRPORT,AIR,TRANSPORT,-22.2541,131.7829,NT,2024-03-01,POINT (131.782891 -22.254114),gazetted
NT_10220,10220,Alice Springs Airport,AIRPORT,AIR,TRANSPORT,-23.8045,133.9037,NT,2024-03-01,POINT (133.903692 -23.804514),gazetted
NT_12222,12222,Darwin International Airport,AIRPORT,AIR,TRANSPORT,-12.4101,130.8768,NT,2024-03-01,POINT (130.876791 -12.410114),gazetted
NT_13241,13241,Gove Airport,AIRPORT,AIR,TRANSPORT,-12.2745,136.8239,NT,2024-03-01,POINT (136.823892 -12.274514),gazetted
NT_13309,13309,Groote Eylandt Airport,AIRPORT,AIR,TRANSPORT,-13.9724,136.4585,NT,2024-03-01,POINT (136.458492 -13.972414),gazetted
NT_15086,15086,Milingimbi Airfield,AIRPORT,AIR,TRANSPORT,-12.0946,134.8926,NT,2024-03-01,POINT (134.892591 -12.094614),gazetted
NT_14766,14766,Maningrida Aerodrome,AIRPORT,AIR,TRANSPORT,-12.0567,134.2352,NT,2024-03-01,POINT (134.235191 -12.056714),gazetted
NT_23610,23610,Casuarina Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-12.3755,130.8769,NT,2024-03-01,POINT (130.876891 -12.375514),gazetted
NT_23678,23678,Alice Springs Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-23.7132,133.872,NT,2024-03-01,POINT (133.871992 -23.713214),gazetted
NT_23679,23679,Tennant Creek Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-19.6464,134.1876,NT,2024-03-01,POINT (134.187592 -19.646414),gazetted
NT_23681,23681,Katherine Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-14.4641,132.2598,NT,2024-03-01,POINT (132.259791 -14.464114),gazetted
NT_23682,23682,Darwin Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-12.4286,130.8431,NT,2024-03-01,POINT (130.843091 -12.428614),gazetted
NT_21454,21454,Jones Bank,BANK,LANDFORM,TERRAIN,-12.4617,130.3973,NT,2024-03-01,POINT (130.397291 -12.461714),gazetted
NT_21948,21948,Truant Bank,BANK,LANDFORM,TERRAIN,-11.6459,136.8981,NT,2024-03-01,POINT (136.898092 -11.645914),gazetted
NT_20278,20278,Rruwangkala Rockbar,BANK,LANDFORM,TERRAIN,-15.9301,136.4955,NT,2024-03-01,POINT (136.495492 -15.930114),gazetted
NT_20293,20293,Liwirriyila Sandbank,BANK,LANDFORM,TERRAIN,-15.9216,136.4274,NT,2024-03-01,POINT (136.427392 -15.921614),gazetted
NT_17511,17511,Parsons Bank,BANK,LANDFORM,TERRAIN,-11.95,130.8667,NT,2024-03-01,POINT (130.866691 -11.950014),gazetted
NT_17654,17654,Pittard Spit,BANK,LANDFORM,TERRAIN,-12.7004,130.6365,NT,2024-03-01,POINT (130.636491 -12.700414),gazetted
NT_17415,17415,Outer Bank,BANK,LANDFORM,TERRAIN,-15.6013,136.9531,NT,2024-03-01,POINT (136.953092 -15.601314),gazetted
NT_22659,22659,Paddy Patches,BANK,LANDFORM,TERRAIN,-11.4067,130.6711,NT,2024-03-01,POINT (130.671091 -11.406714),gazetted
NT_18614,18614,Stephens Bank,BANK,LANDFORM,TERRAIN,-12.1167,131.1792,NT,2024-03-01,POINT (131.179191 -12.116714),gazetted
NT_11831,11831,Cody Bank,BANK,LANDFORM,TERRAIN,-13.6981,136.8224,NT,2024-03-01,POINT (136.822392 -13.698114),gazetted
NT_12836,12836,Firefly Bank,BANK,LANDFORM,TERRAIN,-11.7775,136.0157,NT,2024-03-01,POINT (136.015692 -11.777514),gazetted
NT_12923,12923,Foelsche Bank,BANK,LANDFORM,TERRAIN,-12.1558,130.9571,NT,2024-03-01,POINT (130.957091 -12.155814),gazetted
NT_13294,13294,Gregory Bar,BANK,LANDFORM,TERRAIN,-14.8744,130.4567,NT,2024-03-01,POINT (130.456691 -14.874414),gazetted
NT_15017,15017,Mermaid Bank,BANK,LANDFORM,TERRAIN,-14.5091,129.3365,NT,2024-03-01,POINT (129.336491 -14.509114),gazetted
NT_15038,15038,Middle Bank,BANK,LANDFORM,TERRAIN,-12.1889,131.2125,NT,2024-03-01,POINT (131.212491 -12.188914),gazetted
NT_18036,18036,Robertson Barracks,BARRACKS,DEFENCE,SOCIETY,-12.4451,130.9745,NT,2024-03-01,POINT (130.974491 -12.445114),gazetted
NT_22190,22190,Waler Lines,BARRACKS,DEFENCE,SOCIETY,-12.443,130.979,NT,2024-03-01,POINT (130.978991 -12.443014),gazetted
NT_17863,17863,RAAF Darwin,BARRACKS,DEFENCE,SOCIETY,-12.4223,130.8654,NT,2024-03-01,POINT (130.865391 -12.422314),gazetted
NT_18986,18986,RAAF Tindal,BARRACKS,DEFENCE,SOCIETY,-14.5036,132.393,NT,2024-03-01,POINT (132.392991 -14.503614),gazetted
NT_12223,12223,Darwin Naval Base,BARRACKS,DEFENCE,SOCIETY,-12.4609,130.8219,NT,2024-03-01,POINT (130.821891 -12.460914),gazetted
NT_14355,14355,Larrakeyah Barracks,BARRACKS,DEFENCE,SOCIETY,-12.4573,130.8224,NT,2024-03-01,POINT (130.822391 -12.457314),gazetted
NT_11665,11665,Central Government Battery,BATTERY,PROCESSING,MINING,-19.6516,134.2125,NT,2024-03-01,POINT (134.212492 -19.651614),gazetted
NT_12779,12779,Fasal Deens Battery,BATTERY,PROCESSING,MINING,-19.7,134.1667,NT,2024-03-01,POINT (134.166692 -19.700014),gazetted
