NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
TAS_12927D,12927D,Cambridge Aerodrome,AIRPORT,AIR,TRANSPORT,-42.82705,147.47737,TAS,2025-12-14,POINT (147.47737 -42.82705),gazetted
TAS_42239D,42239D,Cranbourn Airfield,LANDING AREA,AIR,TRANSPORT,-41.15544,147.00991,TAS,2025-12-14,POINT (147.00991 -41.15544),gazetted
TAS_2840Y,2840Y,Devonport Airport,AIRPORT,AIR,TRANSPORT,-41.16965,146.42424,TAS,2025-12-14,POINT (146.42424 -41.16965),gazetted
TAS_17165L,17165L,Flinders Island Airport,AIRPORT,AIR,TRANSPORT,-40.09418,147.99363,TAS,2025-12-14,POINT (147.99363 -40.09418),gazetted
TAS_42957G,42957G,George Town Airport,AIRPORT,AIR,TRANSPORT,-41.07948,146.84111,TAS,2025-12-14,POINT (146.84111 -41.07948),gazetted
TAS_11917E,11917E,Hobart Airport,AIRPORT,AIR,TRANSPORT,-42.83604,147.50408,TAS,2025-12-14,POINT (147.50408 -42.83604),gazetted
TAS_46530H,46530H,Killiecrankie Airfield,LANDING AREA,AIR,TRANSPORT,-39.84941,147.85997,TAS,2025-12-14,POINT (147.85997 -39.84941),gazetted
TAS_16499T,16499T,King Island Airport,AIRPORT,AIR,TRANSPORT,-39.87778,143.88276,TAS,2025-12-14,POINT (143.88276 -39.87778),gazetted
TAS_42237C,42237C,Lady Barron Aerodrome,AIRPORT,AIR,TRANSPORT,-40.1965,148.24413,TAS,2025-12-14,POINT (148.24413 -40.1965),gazetted
TAS_11615W,11615W,Launceston Airport,AIRPORT,AIR,TRANSPORT,-41.54346,147.21161,TAS,2025-12-14,POINT (147.21161 -41.54346),gazetted
TAS_42238P,42238P,Murray Holloway Airfield,LANDING AREA,AIR,TRANSPORT,-40.20247,148.23414,TAS,2025-12-14,POINT (148.23414 -40.20247),gazetted
TAS_17962F,17962F,Queenstown Aerodrome,AIRPORT,AIR,TRANSPORT,-42.07544,145.52884,TAS,2025-12-14,POINT (145.52884 -42.07544),gazetted
TAS_17459T,17459T,Reg Munro Airfield,LANDING AREA,AIR,TRANSPORT,-40.38919,148.01416,TAS,2025-12-14,POINT (148.01416 -40.38919),gazetted
TAS_1595L,1595L,Smithton Aerodrome,AIRPORT,AIR,TRANSPORT,-40.83408,145.08709,TAS,2025-12-14,POINT (145.08709 -40.83408),gazetted
TAS_22404C,22404C,St Helens Aerodrome,AIRPORT,AIR,TRANSPORT,-41.3384,148.29072,TAS,2025-12-14,POINT (148.29072 -41.3384),gazetted
TAS_18569D,18569D,Strahan Aerodrome,AIRPORT,AIR,TRANSPORT,-42.16166,145.28822,TAS,2025-12-14,POINT (145.28822 -42.16166),gazetted
TAS_48844R,48844R,Waratah Airstrip,LANDING AREA,AIR,TRANSPORT,-41.44877847,145.5481946,TAS,2025-12-14,POINT (145.548195 -41.448778),gazetted
TAS_2339R,2339R,Wynyard Airport,AIRPORT,AIR,TRANSPORT,-40.99883,145.7359,TAS,2025-12-14,POINT (145.7359 -40.99883),gazetted
TAS_22690E,22690E,Zeehan Airstrip,LANDING AREA,AIR,TRANSPORT,-41.88674,145.35116,TAS,2025-12-14,POINT (145.35116 -41.88674),gazetted
TAS_4641T,4641T,Devils Kitchen,CAVE,LANDFORM,TERRAIN,-43.04414,147.95023,TAS,2025-12-14,POINT (147.95023 -43.04414),gazetted
TAS_21964J,21964J,Keyhole,CAVE,LANDFORM,TERRAIN,-42.6634,148.1165,TAS,2025-12-14,POINT (148.1165 -42.6634),gazetted
TAS_12121M,12121M,Tasmans Arch,CAVE,LANDFORM,TERRAIN,-43.0423,147.9514,TAS,2025-12-14,POINT (147.9514 -43.0423),gazetted
TAS_23581L,23581L,Wright Arches,CAVE,LANDFORM,TERRAIN,-42.62145,146.34084,TAS,2025-12-14,POINT (146.34084 -42.62145),gazetted
TAS_5224Y,5224Y,Adams Cut,CANAL,WATERWAY,HYDROLOGY,-41.00669,147.45914,TAS,2025-12-14,POINT (147.45914 -41.00669),gazetted
TAS_20190S,20190S,Allsops Drain,CANAL,WATERWAY,HYDROLOGY,-41.58132,146.55044,TAS,2025-12-14,POINT (146.55044 -41.58132),gazetted
TAS_19764E,19764E,Augusta Spillway,CANAL,WATERWAY,HYDROLOGY,-41.8712,146.51363,TAS,2025-12-14,POINT (146.51363 -41.8712),gazetted
TAS_10777T,10777T,Beehive Canal,CANAL,WATERWAY,HYDROLOGY,-42.19274,146.08663,TAS,2025-12-14,POINT (146.08663 -42.19274),gazetted
TAS_17728G,17728G,Bradys Canal,CANAL,WATERWAY,HYDROLOGY,-42.26177,146.50709,TAS,2025-12-14,POINT (146.50709 -42.26177),gazetted
TAS_15411S,15411S,Briseis Race,CANAL,WATERWAY,HYDROLOGY,-41.19546,147.74182,TAS,2025-12-14,POINT (147.74182 -41.19546),gazetted
TAS_10778X,10778X,Bronte Canal,CANAL,WATERWAY,HYDROLOGY,-42.14071,146.50607,TAS,2025-12-14,POINT (146.50607 -42.14071),gazetted
TAS_23132C,23132C,Bronte Flume,CANAL,WATERWAY,HYDROLOGY,-42.10967,146.49745,TAS,2025-12-14,POINT (146.49745 -42.10967),gazetted
TAS_4387A,4387A,Clarence Pipeline,WATER PIPELINE,WATER INFRASTRUCTURE,HYDROLOGY,-42.17765,146.4073,TAS,2025-12-14,POINT (146.4073 -42.17765),gazetted
TAS_13131L,13131L,Dee Tunnel,CANAL,WATERWAY,HYDROLOGY,-42.24158,146.54508,TAS,2025-12-14,POINT (146.54508 -42.24158),gazetted
TAS_6135P,6135P,Denison Canal,CANAL,WATERWAY,HYDROLOGY,-42.89141,147.80517,TAS,2025-12-14,POINT (147.80517 -42.89141),gazetted
TAS_15477L,15477L,Garibaldi Race,CANAL,WATERWAY,HYDROLOGY,-41.1054,147.93518,TAS,2025-12-14,POINT (147.93518 -41.1054),gazetted
TAS_14589L,14589L,Georges Bay Race,CANAL,WATERWAY,HYDROLOGY,-41.32417,148.16445,TAS,2025-12-14,POINT (148.16445 -41.32417),gazetted
TAS_22424L,22424L,Henty Canal,CANAL,WATERWAY,HYDROLOGY,-41.90568,145.57418,TAS,2025-12-14,POINT (145.57418 -41.90568),gazetted
TAS_13578K,13578K,Kermodes Drain,CANAL,WATERWAY,HYDROLOGY,-42.13804,147.14781,TAS,2025-12-14,POINT (147.14781 -42.13804),gazetted
TAS_23351D,23351D,Liapootah Tunnel,CANAL,WATERWAY,HYDROLOGY,-42.34627,146.48991,TAS,2025-12-14,POINT (146.48991 -42.34627),gazetted
TAS_1902A,1902A,Liawenee Canal,CANAL,WATERWAY,HYDROLOGY,-41.90084,146.63583,TAS,2025-12-14,POINT (146.63583 -41.90084),gazetted
TAS_13271P,13271P,McPartlan Canal,CANAL,WATERWAY,HYDROLOGY,-42.84794,146.19404,TAS,2025-12-14,POINT (146.19404 -42.84794),gazetted
TAS_1373D,1373D,Monpeelyata Canal,CANAL,WATERWAY,HYDROLOGY,-42.03589,146.65972,TAS,2025-12-14,POINT (146.65972 -42.03589),gazetted
TAS_23358T,23358T,Mossy Marsh Canal,CANAL,WATERWAY,HYDROLOGY,-42.27785,146.37038,TAS,2025-12-14,POINT (146.37038 -42.27785),gazetted
TAS_23359X,23359X,Mossy Marsh Tunnel,CANAL,WATERWAY,HYDROLOGY,-42.27645,146.3491,TAS,2025-12-14,POINT (146.3491 -42.27645),gazetted
